[32m[I 2022-01-22 20:30:13,176][0m A new study created in memory with name: no-name-825e49d0-95e9-4327-ba43-857368d01008[0m
[32m[I 2022-01-23 00:04:18,287][0m Trial 62 finished with value: -6.4981889724731445 and parameters: {'r_scaling': 0.21496315570857777, 'unroll': 1, 'update_epoch': 11, 'discount': 0.9353458199362636, 'lr': 0.00011245745865495626, 'entropy': 0.008707549499569868}. Best is trial 51 with value: -500.1933288574219.[0m
[32m[I 2022-01-23 00:07:39,627][0m Trial 63 finished with value: 95.93804168701172 and parameters: {'r_scaling': 0.9867115741975165, 'unroll': 2, 'update_epoch': 13, 'discount': 0.9396086747770032, 'lr': 0.00013027673598378195, 'entropy': 0.014393905680862608}. Best is trial 51 with value: -500.1933288574219.[0m
[32m[I 2022-01-23 00:10:45,865][0m Trial 64 finished with value: 123.40611267089844 and parameters: {'r_scaling': 0.5915583921293373, 'unroll': 1, 'update_epoch': 11, 'discount': 0.9304768840275291, 'lr': 0.0001811047499074416, 'entropy': 0.019194834998905223}. Best is trial 51 with value: -500.1933288574219.[0m
[32m[I 2022-01-23 00:14:10,278][0m Trial 65 finished with value: 103.62100219726562 and parameters: {'r_scaling': 0.3575858400723077, 'unroll': 9, 'update_epoch': 10, 'discount': 0.9233683120053301, 'lr': 0.00010916376157279319, 'entropy': 0.025777409504670622}. Best is trial 51 with value: -500.1933288574219.[0m
[32m[I 2022-01-23 00:17:50,331][0m Trial 66 finished with value: 122.82352447509766 and parameters: {'r_scaling': 0.16929860807295577, 'unroll': 1, 'update_epoch': 14, 'discount': 0.9947350192513761, 'lr': 0.00013710159189227251, 'entropy': 0.006442405221380027}. Best is trial 51 with value: -500.1933288574219.[0m
[32m[I 2022-01-23 00:20:50,020][0m Trial 67 finished with value: 108.01862335205078 and parameters: {'r_scaling': 0.08517430748664256, 'unroll': 2, 'update_epoch': 12, 'discount': 0.9377941601035439, 'lr': 0.0019718379440157, 'entropy': 0.054610120571268454}. Best is trial 51 with value: -500.1933288574219.[0m
[32m[I 2022-01-23 00:23:56,084][0m Trial 68 finished with value: -16.733001708984375 and parameters: {'r_scaling': 6.045936334134761, 'unroll': 1, 'update_epoch': 8, 'discount': 0.9187488668857791, 'lr': 0.0005994133316523156, 'entropy': 0.009857460840183099}. Best is trial 51 with value: -500.1933288574219.[0m
[32m[I 2022-01-23 00:27:19,212][0m Trial 69 finished with value: 103.66600036621094 and parameters: {'r_scaling': 2.051089006730326, 'unroll': 15, 'update_epoch': 10, 'discount': 0.9422937353361015, 'lr': 0.00021025880875300004, 'entropy': 0.03629187529054115}. Best is trial 51 with value: -500.1933288574219.[0m
[32m[I 2022-01-23 00:30:13,999][0m Trial 70 finished with value: 98.107177734375 and parameters: {'r_scaling': 0.24865786480095112, 'unroll': 3, 'update_epoch': 6, 'discount': 0.9152735222048014, 'lr': 0.00015490674062847978, 'entropy': 0.004374664368279458}. Best is trial 51 with value: -500.1933288574219.[0m
[32m[I 2022-01-23 00:33:49,176][0m Trial 71 finished with value: 88.34629821777344 and parameters: {'r_scaling': 0.38359925113606586, 'unroll': 1, 'update_epoch': 9, 'discount': 0.9278655224018338, 'lr': 0.0001414255722480613, 'entropy': 0.020066739044594276}. Best is trial 51 with value: -500.1933288574219.[0m
[32m[I 2022-01-23 00:36:49,167][0m Trial 72 finished with value: 106.16136169433594 and parameters: {'r_scaling': 0.33340592020077, 'unroll': 2, 'update_epoch': 8, 'discount': 0.9301706797136872, 'lr': 0.00012533700893077723, 'entropy': 0.013379140700601427}. Best is trial 51 with value: -500.1933288574219.[0m
[32m[I 2022-01-23 00:40:25,324][0m Trial 73 finished with value: -956.888427734375 and parameters: {'r_scaling': 0.5664377385946675, 'unroll': 1, 'update_epoch': 10, 'discount': 0.9355131421511577, 'lr': 0.00018043767211744596, 'entropy': 0.01818056761566098}. Best is trial 73 with value: -956.888427734375.[0m
